--- Execution profile ---
Total samples       : 51403

          ns  percent  samples  top
    34000000    0.07%       34  it.unimi.dsi.fastutil.longs.Long2ObjectFunction.containsKey
    33000000    0.06%       33  net.minecraft.world.entity.Entity.isEyeInFluid
    33000000    0.06%       33  java.util.TreeMap.values
    33000000    0.06%       33  G1ScanHRForRegionClosure::scan_heap_roots
    32000000    0.06%       32  PhaseIdealLoop::build_loop_late_post_work
    32000000    0.06%       32  net.minecraft.world.phys.Vec3.distanceToSqr
    32000000    0.06%       32  net.minecraft.world.entity.Mob.getControllingPassenger
    32000000    0.06%       32  java.util.EnumMap$EnumMapIterator.hasNext
    32000000    0.06%       32  net.minecraft.world.level.pathfinder.WalkNodeEvaluator.getNodeAndUpdateCostToMax
    31000000    0.06%       31  net.minecraft.core.BlockPos$4.computeNext
    31000000    0.06%       31  DependencyContext::add_dependent_nmethod
    31000000    0.06%       31  SafeFetch32_impl
    31000000    0.06%       31  net.minecraft.world.phys.AABB.inflate
    31000000    0.06%       31  net.minecraft.world.entity.Entity.getFirstPassenger
    31000000    0.06%       31  FreeListAllocator::allocate
    31000000    0.06%       31  java.util.concurrent.ThreadPoolExecutor.runWorker
    31000000    0.06%       31  net.minecraft.world.level.PathNavigationRegion.getChunkIfLoaded
    31000000    0.06%       31  net.minecraft.util.Mth.sin
    31000000    0.06%       31  net.minecraft.world.entity.Entity.isInWall
    31000000    0.06%       31  java.util.HashMap.entrySet
    30000000    0.06%       30  net.minecraft.world.level.pathfinder.WalkNodeEvaluator.tryFindFirstGroundNodeBelow
    30000000    0.06%       30  java.util.HashMap$Node.getKey
    30000000    0.06%       30  net.minecraft.world.entity.Mob.isNoAi
    30000000    0.06%       30  net.minecraft.world.level.Level.tickBlockEntities
    30000000    0.06%       30  net.minecraft.world.entity.ai.village.poi.PoiManager.lambda$exists$13
    30000000    0.06%       30  net.minecraft.util.LinearCongruentialGenerator.next
    30000000    0.06%       30  net.minecraft.world.entity.Entity.position
    29000000    0.06%       29  net.minecraft.world.level.block.state.BlockBehaviour$BlockStateBase.is
    29000000    0.06%       29  java.util.LinkedHashMap$LinkedKeySet.iterator
    29000000    0.06%       29  io.netty.channel.ChannelOutboundBuffer$Entry.newInstance
    29000000    0.06%       29  java.lang.String.equals
    29000000    0.06%       29  net.minecraft.world.entity.ai.behavior.declarative.BehaviorBuilder$Instance$4.tryTrigger
    29000000    0.06%       29  PcDescContainer::find_pc_desc_internal
    28000000    0.05%       28  ca.spottedleaf.moonrise.common.list.IteratorSafeOrderedReferenceSet$BaseIterator.hasNext
    28000000    0.05%       28  net.minecraft.server.level.ServerChunkCache.getChunkNow
    28000000    0.05%       28  G1SATBMarkQueueSet::filter
    28000000    0.05%       28  net.minecraft.world.entity.ai.control.MoveControl.tick
    28000000    0.05%       28  void G1ScanCardClosure::do_oop_work<narrowOop>
    28000000    0.05%       28  java.util.RegularEnumSet$EnumSetIterator.next
    28000000    0.05%       28  io.papermc.paper.util.PoiAccess.getSmallestDistanceSquared
    28000000    0.05%       28  net.minecraft.world.level.pathfinder.Node.createHash
    28000000    0.05%       28  io.netty.buffer.PooledByteBuf.init0
    28000000    0.05%       28  java.util.ArrayList.elementData
    27000000    0.05%       27  java.util.EnumMap.unmaskNull
    27000000    0.05%       27  PhaseChaitin::post_allocate_copy_removal
    27000000    0.05%       27  net.minecraft.world.level.pathfinder.BinaryHeap.pop
    27000000    0.05%       27  net.minecraft.world.level.gameevent.EuclideanGameEventListenerRegistry.visitInRangeListeners
    27000000    0.05%       27  net.minecraft.world.entity.ai.goal.Goal.getFlags
