--- Execution profile ---
Total samples       : 230007

          ns  percent  samples  top
   295083538    0.13%      292  net.minecraft.world.level.chunk.LevelChunk.getListenerRegistry
   290189228    0.12%      287  net.minecraft.world.entity.LivingEntity.isAlive
   289097483    0.12%      289  IndexSetIterator::advance_and_next
   288238187    0.12%      284  net.minecraft.world.entity.Entity.move
   287828432    0.12%      286  net.minecraft.world.level.pathfinder.WalkNodeEvaluator.getPathTypeWithinMobBB
   285147253    0.12%      279  net.minecraft.world.entity.Entity.distanceToSqr
   282947963    0.12%      278  net.minecraft.world.level.EntityGetter.getNearestPlayer
   273083723    0.12%      271  net.minecraft.world.phys.AABB.<init>
   273080977    0.12%      272  net.minecraft.world.entity.ai.behavior.GateBehavior.tickOrStop
   272478203    0.12%      269  ca.spottedleaf.moonrise.patches.chunk_system.scheduling.NewChunkHolder.getChunkIfPresentUnchecked
   271214365    0.12%      269  net.minecraft.world.level.pathfinder.BinaryHeap.upHeap
   264399193    0.11%      262  net.minecraft.server.level.ServerLevel.tickChunk
   263105951    0.11%      260  ca.spottedleaf.moonrise.patches.chunk_system.scheduling.NewChunkHolder$ChunkCompletion.chunk
   262984617    0.11%      262  net.minecraft.server.level.ServerChunkCache.tickChunks
   261099696    0.11%      256  net.minecraft.server.level.ServerEntity.sendDirtyEntityData
   260301945    0.11%      256  net.minecraft.world.entity.ai.Brain.tickSensors
   260122515    0.11%      258  net.minecraft.core.Vec3i.getY
   258475689    0.11%      254  net.minecraft.world.level.pathfinder.PathTypeCache.index
   256090306    0.11%      246  void OopOopIterateBoundedDispatch<G1CMOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, narrowOop>
   254219310    0.11%      254  com.google.common.collect.TransformedIterator.hasNext
   249799346    0.11%      243  java.util.ArrayList$Itr.next
   249112915    0.11%      246  net.minecraft.world.phys.Vec3.distanceToSqr
   246288359    0.10%      243  net.minecraft.world.entity.ai.behavior.Behavior.tryStart
   246162369    0.10%      244  net.minecraft.world.entity.ai.behavior.OneShot.getStatus
   244319915    0.10%      244  it.unimi.dsi.fastutil.objects.Object2DoubleArrayMap.clear
   243949618    0.10%      239  ca.spottedleaf.moonrise.patches.starlight.light.SWMRNibbleArray.isNullNibbleVisible
   242091019    0.10%      240  java.util.EnumMap.isValidKey
   238004736    0.10%      236  PhaseChaitin::elide_copy
   235842442    0.10%      231  G1SATBMarkQueueSet::filter
   234334132    0.10%      234  java.lang.Enum.ordinal
   234131496    0.10%      230  net.minecraft.server.level.ChunkMap$TrackedEntity.moonrise$tick
   233104446    0.10%      230  PhaseChaitin::gather_lrg_masks
   232233665    0.10%      230  java.util.HashMap.putVal
   229119774    0.10%      226  it.unimi.dsi.fastutil.ints.Int2ObjectOpenHashMap.computeIfAbsent
   228196444    0.10%      226  ca.spottedleaf.moonrise.patches.starlight.light.StarLightInterface.getSkyLightValue
   228077966    0.10%      226  net.minecraft.world.level.block.SpreadingSnowyDirtBlock.randomTick
   228047201    0.10%      222  net.minecraft.world.entity.Entity.checkInsideBlocks
   226991425    0.10%      225  net.minecraft.world.level.pathfinder.Node.distanceTo
   225566016    0.10%      169  java.util.concurrent.ThreadPoolExecutor.runWorker
   225560244    0.10%      207  BarrierSetNMethod::nmethod_stub_entry_barrier
   225093403    0.10%      223  net.minecraft.core.Vec3i.distToCenterSqr
   223933970    0.10%      221  net.minecraft.world.level.PotentialCalculator.<init>
   220977750    0.09%      219  net.minecraft.world.level.chunk.ChunkAccess.getNoiseBiome
   218065102    0.09%      215  it.unimi.dsi.fastutil.longs.LongOpenHashSet.rehash
   216526094    0.09%      212  net.minecraft.world.phys.shapes.VoxelShape.moonrise$initCache
   216071819    0.09%      212  net.minecraft.world.entity.ai.attributes.AttributeSupplier.getAttributeInstance
   212064050    0.09%      155  sun.misc.Unsafe.putObject
   206563562    0.09%      150  sun.misc.Unsafe.getObjectVolatile
   205983866    0.09%      203  net.minecraft.world.level.pathfinder.Path.isDone
   203395436    0.09%      200  void OopOopIterateDispatch<G1ScanCardClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
   203170293    0.09%      203  void OopOopIterateBoundedDispatch<G1ScanCardClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, narrowOop>
   201911756    0.09%      201  net.minecraft.world.level.pathfinder.WalkNodeEvaluator.getPathTypeOfMob
   201108620    0.09%      200  java.util.concurrent.ConcurrentHashMap.get
   200889235    0.09%      200  PhaseIdealLoop::build_loop_late
   200099892    0.08%      199  ca.spottedleaf.moonrise.patches.chunk_system.level.entity.EntityLookup.getHardCollidingEntities
   200006068    0.08%      198  it.unimi.dsi.fastutil.longs.LongOpenHashSet.contains
   199223383    0.08%      196  ca.spottedleaf.moonrise.common.util.TickThread.isTickThread
   198632894    0.08%      177  it.unimi.dsi.fastutil.objects.Object2IntOpenHashMap.getOrDefault
   198369649    0.08%      149  io.netty.util.Recycler$LocalPool.accept
   198051014    0.08%      198  PhaseChaitin::interfere_with_live
   196115477    0.08%      192  net.minecraft.world.entity.LivingEntity.tick
   196038679    0.08%      196  void OopOopIterateDispatch<G1RootRegionScanClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
   193323896    0.08%      183  it.unimi.dsi.fastutil.objects.Object2BooleanOpenHashMap.find
   190850503    0.08%      191  PhaseLive::compute
   190805167    0.08%      189  net.minecraft.world.level.biome.BiomeManager.getBiome
   190205080    0.08%      189  net.minecraft.world.entity.Entity.lambda$checkInsideBlocks$2
   189877703    0.08%      190  net.minecraft.world.level.pathfinder.WalkNodeEvaluator.getNodeAndUpdateCostToMax
   188847428    0.08%      188  net.minecraft.world.level.Level.getNoiseBiome
   187815278    0.08%      139  java.util.concurrent.atomic.AtomicIntegerFieldUpdater$AtomicIntegerFieldUpdaterImpl.lazySet
   186211375    0.08%      184  net.minecraft.world.entity.Entity.setOldPos
   186115080    0.08%      184  net.minecraft.core.Cursor3D.advance
   185886028    0.08%      185  net.minecraft.server.level.ChunkMap.getMobCountNear
   185319675    0.08%      184  net.minecraft.world.entity.LivingEntity.collectEquipmentChanges
   185062580    0.08%      181  it.unimi.dsi.fastutil.ints.Int2ObjectOpenHashMap.insert
   183978050    0.08%      182  it.unimi.dsi.fastutil.ints.Int2ObjectOpenHashMap.containsKey
   183038882    0.08%      182  net.minecraft.world.phys.AABB.inflate
   182063440    0.08%      181  FreeListAllocator::allocate
   180143701    0.08%      178  net.minecraft.world.entity.Entity.setSharedFlag
   179034438    0.08%      178  net.minecraft.world.entity.Entity.moonrise$getTrackedEntity
   178906066    0.08%      179  G1MonotonicArena::allocate
   175109628    0.07%      174  ca.spottedleaf.moonrise.patches.blockstate_propertyaccess.util.ZeroCollidingReferenceStateTable.get
   173823870    0.07%      168  flush_icache_stub
   171814528    0.07%      172  ca.spottedleaf.moonrise.patches.collisions.shape.CachedShapeData.maxFullY
   170018958    0.07%      169  PhaseIdealLoop::build_loop_early
   169803795    0.07%      127  java.util.concurrent.atomic.Striped64.getProbe
   169279534    0.07%      161  java.lang.String.hashCode
   169097431    0.07%      166  net.minecraft.world.entity.Entity.isEyeInFluid
   167377712    0.07%      163  java.lang.ref.Reference.refersToImpl
   166776590    0.07%      133  sun.misc.Unsafe.compareAndSwapLong
   166450100    0.07%      166  DependencyContext::add_dependent_nmethod
   164677570    0.07%      160  net.minecraft.core.Vec3i.getZ
   164150542    0.07%      163  net.minecraft.world.entity.ai.behavior.declarative.BehaviorBuilder$1.trigger
   163376182    0.07%      121  io.netty.util.concurrent.SingleThreadEventExecutor.pollTaskFrom
   160174384    0.07%      158  net.minecraft.world.level.block.state.BlockBehaviour.getCollisionShape
   158203568    0.07%      158  java.util.LinkedHashMap$LinkedKeySet.iterator
   155918550    0.07%      155  net.minecraft.util.LinearCongruentialGenerator.next
   155555520    0.07%      128  io.netty.channel.epoll.EpollEventLoop.run
   155120101    0.07%      151  java.util.HashMap.keySet
   154359142    0.07%      145  G1MergeHeapRootsTask::work
   152227117    0.06%      151  net.minecraft.world.entity.Entity.updateInWaterStateAndDoFluidPushing
   152188844    0.06%      148  net.minecraft.core.Holder$Reference.boundTags
   152061867    0.06%      151  net.minecraft.world.entity.Entity.isInWall
   151084113    0.06%      150  net.minecraft.server.level.ServerChunkCache.runDistanceManagerUpdates
   151075233    0.06%      151  ca.spottedleaf.concurrentutil.util.HashUtil.mix
   150150237    0.06%      149  java.util.TreeMap.values
   150134269    0.06%      150  PhaseIdealLoop::Dominators
   150100918    0.06%      149  ca.spottedleaf.moonrise.patches.chunk_system.level.poi.PoiChunk.isLoaded
   149324273    0.06%      145  net.minecraft.world.level.pathfinder.PathTypeCache.getOrCompute
   149134498    0.06%      146  java.util.ArrayList.grow
   148006939    0.06%      147  PhaseChaitin::post_allocate_copy_removal
   147902035    0.06%      148  net.minecraft.world.level.pathfinder.WalkNodeEvaluator.lambda$getCachedPathType$1
   146079393    0.06%      145  net.minecraft.server.level.ServerLevel.moonrise$getChunkTaskScheduler
   145945601    0.06%      146  PhaseIdealLoop::build_loop_late_post_work
   144923916    0.06%      141  net.minecraft.world.level.PathNavigationRegion.getFluidState
   143056207    0.06%      142  ca.spottedleaf.moonrise.patches.chunk_system.level.entity.EntityLookup$ChunkSlicesRegion.get
   142955199    0.06%      142  net.minecraft.world.level.chunk.ChunkAccess.getMinY
   142154773    0.06%      141  net.minecraft.util.Mth.sin
   141859009    0.06%      141  net.minecraft.world.level.LevelHeightAccessor.getSectionIndexFromSectionY
   139110144    0.06%      138  net.minecraft.core.component.PatchedDataComponentMap.get
   139079133    0.06%      138  net.minecraft.world.entity.LivingEntity.baseTick
   138068818    0.06%      136  net.minecraft.world.level.gameevent.EuclideanGameEventListenerRegistry.visitInRangeListeners
   137069560    0.06%      135  io.papermc.paper.util.PoiAccess.clamp
   136171591    0.06%      106  io.netty.channel.ChannelOutboundBuffer$Entry.newInstance
   136010413    0.06%      134  void OopOopIterateDispatch<G1CMOopClosure>::Table::oop_oop_iterate<InstanceMirrorKlass, narrowOop>
   135833653    0.06%      128  CodeHeap::find_blob
   133960250    0.06%      133  net.minecraft.world.level.pathfinder.WalkNodeEvaluator.getPathType
   133343719    0.06%      127  __tls_get_addr
   133201286    0.06%      130  net.minecraft.world.entity.Entity.setPosRaw
   133049621    0.06%      132  net.minecraft.server.level.ChunkMap.updatePlayerMobTypeMap
   132961809    0.06%      131  com.google.common.collect.Iterators$ArrayItr.get
   132176186    0.06%      124  I2C/C2I adapters
   132065546    0.06%      128  oopDesc::size
   130275902    0.06%       96  io.netty.buffer.PoolThreadCache$MemoryRegionCache.allocate
   130210734    0.06%      130  Dict::Insert
   129998742    0.06%      126  net.minecraft.world.level.chunk.ChunkAccess.getPos
   129118490    0.05%      128  net.minecraft.world.entity.ai.control.MoveControl.tick
   127367518    0.05%      100  io.netty.channel.ChannelOutboundBuffer.addFlush
   127119609    0.05%      126  net.minecraft.world.entity.ai.behavior.Behavior.hasRequiredMemories
   127106323    0.05%      126  java.util.TreeMap.getFirstEntry
   126096725    0.05%      124  ca.spottedleaf.moonrise.patches.chunk_system.level.poi.PoiChunk.getSectionForVanilla
   125970379    0.05%      124  java.util.ArrayList.elementData
   125182629    0.05%      125  net.minecraft.world.level.block.state.BlockBehaviour.isPathfindable
   124069128    0.05%      124  io.papermc.paper.util.PoiAccess.getSmallestDistanceSquared
   124040455    0.05%      124  PhaseLive::add_liveout
   124030138    0.05%      123  void OopOopIterateDispatch<G1ScanCardClosure>::Table::oop_oop_iterate<ObjArrayKlass, narrowOop>
   123967578    0.05%      124  Node::dominates
   123093546    0.05%      121  net.minecraft.world.level.Level.getChunk
   123057927    0.05%      122  net.minecraft.core.Cursor3D.getNextType
   122934450    0.05%      110  ca.spottedleaf.moonrise.patches.starlight.light.StarLightEngine.performLightIncrease
   122552252    0.05%      112  clock_gettime
   122036261    0.05%      121  ca.spottedleaf.moonrise.common.list.ShortList.getRaw
   122009787    0.05%      121  net.minecraft.core.BlockPos$4.computeNext
   121906474    0.05%      121  net.minecraft.world.level.pathfinder.WalkNodeEvaluator.isNeighborValid
   120092465    0.05%      119  net.minecraft.server.level.ServerChunkCache.getChunkNow
   119853801    0.05%      120  net.minecraft.world.entity.Mob.getControllingPassenger
   118760420    0.05%      114  nmethod::oops_do
   118569434    0.05%       86  java.util.ArrayDeque.addLast
   118088262    0.05%      118  net.minecraft.world.entity.ai.behavior.declarative.BehaviorBuilder$Instance$1.tryTrigger
   117620232    0.05%      102  deflate_compress_lazy
   117089561    0.05%      117  net.minecraft.util.Mth.atan2
   116021875    0.05%      115  net.minecraft.world.level.pathfinder.Node.createHash
   115092930    0.05%      112  net.minecraft.server.level.ServerPlayerGameMode.getGameModeForPlayer
   115080982    0.05%      111  net.minecraft.world.entity.ai.navigation.PathNavigation.tick
   115026288    0.05%      115  net.minecraft.world.entity.Entity.getType
   114294265    0.05%      112  jlong_disjoint_arraycopy
   113225387    0.05%      112  net.minecraft.world.phys.shapes.Shapes.create
   112073547    0.05%      112  java.util.HashMap$Node.getKey
   112031205    0.05%      112  java.lang.String.equals
   110114302    0.05%      106  ca.spottedleaf.concurrentutil.map.SWMRLong2ObjectHashTable.getEntryForOpaque
   110037006    0.05%      110  G1CardSet::add_to_container
   108946024    0.05%      107  InstanceKlass::field
   108119200    0.05%      108  java.util.HashMap.entrySet
   106064660    0.05%      105  net.minecraft.world.level.pathfinder.BinaryHeap.pop
   106000295    0.05%      106  java.lang.System$2.getEnumConstantsShared
   105964762    0.05%      105  net.minecraft.server.level.ServerChunkCache.getFullChunk
   104066411    0.04%      104  net.minecraft.world.entity.Mob.isNoAi
   104025343    0.04%      101  net.minecraft.server.level.ServerChunkCache.getChunkAtIfLoadedImmediately
   103949232    0.04%      103  net.minecraft.world.level.PathNavigationRegion.getChunkIfLoaded
   103069064    0.04%      103  com.google.common.collect.AbstractIndexedListIterator.hasNext
   103017109    0.04%      102  G1CardSet::add_to_howl
   102463924    0.04%      100  java.util.ArrayList.add
   102083585    0.04%      102  net.minecraft.world.phys.Vec3.<init>
   102019725    0.04%      102  PhaseChaitin::build_ifg_physical
   101952736    0.04%      102  Unique_Node_List::remove
   101195794    0.04%       96  getrusage
   101086798    0.04%       97  net.minecraft.server.level.ServerChunkCache.getChunk
   101058461    0.04%      100  net.minecraft.server.MinecraftServer.tickMidTickTasks
   100115854    0.04%       98  java.lang.ThreadLocal.getMap
   100000729    0.04%       98  net.minecraft.world.level.pathfinder.PathfindingContext.level
    99948858    0.04%      100  net.minecraft.world.level.pathfinder.PathFinder.getBestH
    99053749    0.04%       98  ca.spottedleaf.moonrise.common.list.IteratorSafeOrderedReferenceSet$BaseIterator.hasNext
    99021754    0.04%       98  net.minecraft.world.level.chunk.LevelChunkSection.getChangeVersion
    97960912    0.04%       96  net.minecraft.world.entity.LivingEntity.maxUpStep
    97553400    0.04%       95  ca.spottedleaf.moonrise.patches.collisions.CollisionUtil.findFloor
    96977703    0.04%       97  PhaseAggressiveCoalesce::insert_copies
    96910992    0.04%       95  net.minecraft.world.level.pathfinder.WalkNodeEvaluator.tryFindFirstGroundNodeBelow
    96084953    0.04%       94  java.util.RegularEnumSet$EnumSetIterator.next
    96050134    0.04%       94  net.minecraft.world.entity.Entity.position
    94982273    0.04%       95  net.minecraft.world.entity.Entity.getFirstPassenger
    94154658    0.04%       93  java.util.LinkedHashMap$LinkedHashIterator.<init>
    94101992    0.04%       93  net.minecraft.world.item.enchantment.EnchantmentHelper.runIterationOnEquipment
